_timestamp,_step,_runtime,test_acc,test_loss,train_loss,step,elapsed_s,train_acc
1779550727.6190875,5800,15.863206037,0.0371406190097332,11.392192840576172,0.04575728997588158,5800,15.1,1.0
1779550728.1417618,6000,16.363869535,0.036357536911964417,15.25416374206543,0.00548150297254324,6000,15.6,1.0
1779550728.642512,6200,16.861824939999998,0.03781183809041977,12.765145301818848,0.019371652975678444,6200,16.1,1.0
1779550729.1404645,6400,17.380515648,0.040049225091934204,11.584005355834961,0.034950558096170425,6400,16.6,1.0
1779550729.6590898,6600,17.877629944,0.04407652094960213,11.402145385742188,0.036565352231264114,6600,17.1,1.0
1779550730.1562693,6800,18.374015679,0.032442107796669006,15.13211727142334,1.4201828241348267,6800,17.6,0.6966057419776917
1779550730.6526444,7000,18.87121037,0.04251034930348396,12.871296882629395,0.012767232023179531,7000,18.1,1.0
1779550731.1497474,7200,19.376417518,0.04687325283885002,10.621649742126465,0.05797818303108215,7200,18.6,1.0
1779550731.6549795,7400,19.876689318,0.045754559338092804,13.284762382507324,0.008800665847957134,7400,19.1,1.0
1779550732.1551692,7600,20.375075053,0.052242983132600784,11.995874404907227,0.015779344365000725,7600,19.6,1.0
1779550732.6536183,7800,20.872001856,0.054144758731126785,10.372800827026367,0.04514319449663162,7800,20.1,1.0
1779550733.150607,8000,21.37141227,0.054144758731126785,13.001994132995605,0.006731515284627676,8000,20.6,1.0
1779550733.6500401,8200,21.868254534,0.05761270970106125,11.791449546813965,0.011799064464867115,8200,21.1,1.0
1779550734.1468866,8400,22.364353274,0.058619532734155655,9.736625671386719,0.040464773774147034,8400,21.6,1.0
1779550734.6429834,8600,22.861927306,0.05817205831408501,12.624701499938965,0.0055029550567269325,8600,22.1,1.0
1779550735.1405828,8800,23.35909828,0.06633851677179337,9.91519832611084,0.025839753448963165,8800,22.6,1.0
1779550735.6377344,9000,23.857035624,0.06499608606100082,13.079666137695312,0.0027576761785894632,9000,23.1,1.0
1779550736.1356404,9200,24.364439837,0.0751761943101883,9.812957763671875,0.019529446959495544,9200,23.6,1.0
1779550736.6430855,9400,24.860221222,0.07182011753320694,9.627508163452148,0.10877461731433868,9400,24.1,0.9960835576057434
1779550737.138881,9600,25.360911031,0.08009845018386841,10.618510246276855,0.0082196444272995,9600,24.6,1.0
1779550737.6394699,9800,25.884295005,0.08636312931776047,9.275677680969238,0.016856640577316284,9800,25.1,1.0
1779550738.1629279,10000,26.387117753,0.08513256907463074,12.34085750579834,0.3716517984867096,10000,25.6,0.9135770201683044
1779550738.6657512,10200,26.888125505,0.09866875410079956,9.477383613586426,0.009226273745298386,10200,26.1,1.0
1779550739.1667645,10400,27.388358046,0.10739456862211227,8.854098320007324,0.03828294947743416,10400,26.6,1.0
1779550739.6669726,10600,27.898759196,0.1048215702176094,9.500771522521973,0.00604042736813426,10600,27.1,1.0
1779550740.1774142,10800,28.397783063,0.11679159104824066,8.756525993347168,0.04350314661860466,10800,27.6,1.0
1779550740.676423,11000,28.897941213,0.12238505482673645,8.657920837402344,0.006489403545856476,11000,28.1,1.0
1779550741.1765747,11200,29.418505535,0.13681620359420776,6.898015022277832,0.02431342378258705,11200,28.6,1.0
1779550741.6971447,11400,29.917472242,0.1389417201280594,8.910794258117676,0.002976639661937952,11400,29.2,1.0
1779550742.1961327,11600,30.417937777,0.15740016102790833,6.952813625335693,0.012771318666636944,11600,29.7,1.0
1779550742.6965628,11800,30.927859069,0.15795950591564178,8.925760269165039,0.001370544545352459,11800,30.2,1.0
1779550743.2064953,12000,31.440615919,0.1703770011663437,6.087634086608887,0.02495408058166504,12000,30.7,1.0
1779550743.7192588,12200,31.938678653,0.18156394362449646,7.14276123046875,0.004698346834629774,12200,31.2,1.0
1779550744.2173448,12400,32.447923932,0.18782861530780792,8.821533203125,0.0005049047758802772,12400,31.7,1.0
1779550744.7265825,12600,32.958498769,0.22496923804283142,5.429229259490967,0.012334264814853668,12600,32.2,1.0
1779550745.2371333,12800,33.455852032,0.23604430258274078,6.703616142272949,0.0013216219376772642,12800,32.7,1.0
1779550745.7344816,13000,33.954286984,0.24924488365650177,7.915957450866699,0.00014522385026793927,13000,33.2,1.0
1779550746.2328515,13200,34.462001345,0.2904128134250641,3.910691499710083,0.030854428187012672,13200,33.7,1.0
1779550746.7406516,13400,34.959328536,0.32453295588493347,4.447207927703857,0.0039435760118067265,13400,34.2,1.0
1779550747.2379863,13600,35.457089222,0.35585635900497437,5.063691139221191,0.00042100288555957377,13600,34.7,1.0
1779550747.735737,13800,35.967583825,0.388410359621048,5.477051258087158,4.674400042858906e-05,13800,35.2,1.0
1779550748.2462323,14000,36.469610951,0.4456874430179596,2.34287166595459,0.030749035999178886,14000,35.7,1.0
1779550748.7482398,14200,36.96736932,0.5548719167709351,2.087862968444824,0.0033417942468076944,14200,36.2,1.0
1779550749.2460299,14400,37.465547434,0.7043293714523315,1.5065629482269287,0.00033719316706992686,14400,36.7,1.0
1779550749.7441728,14600,37.972534192,0.8645262718200684,0.8036593794822693,3.4289627365069464e-05,14600,37.2,1.0
1779550750.2511744,14800,38.470448674,0.9094977378845215,0.42845210433006287,0.029211832210421562,14800,37.7,1.0
1779550750.7491026,15000,38.968292598,0.9747175574302673,0.22422188520431519,0.002569294534623623,15000,38.2,1.0
1779550751.2468438,15200,39.476986313,0.9902673959732056,0.2063845843076706,0.00021641883358824998,15200,38.7,1.0
